date,open,high,low,close,volume
2026-01-05,10.00,10.10,9.90,10.00,1200000
2026-01-06,9.90,10.00,9.70,9.80,1180000
2026-01-07,9.70,9.90,9.60,9.70,1210000
2026-01-08,9.60,9.80,9.50,9.60,1190000
2026-01-09,9.50,9.70,9.40,9.50,1220000
2026-01-12,9.60,9.90,9.55,9.80,1250000
2026-01-13,9.90,10.20,9.85,10.10,1270000
2026-01-14,10.20,10.50,10.10,10.40,1280000
2026-01-15,10.40,10.80,10.35,10.70,1260000
2026-01-16,10.60,11.10,10.55,11.00,1300000
2026-01-19,11.00,11.30,10.90,11.20,1310000
2026-01-20,11.10,11.40,10.95,11.30,1290000
2026-01-21,10.90,11.00,10.50,10.70,1270000
2026-01-22,10.50,10.60,10.10,10.20,1260000
2026-01-23,10.10,10.20,9.70,9.80,1240000
2026-01-26,9.80,9.90,9.40,9.50,1220000
2026-01-27,9.60,9.70,9.10,9.20,1200000
2026-01-28,9.30,9.40,8.90,9.00,1190000
